region,symbol,size_bytes,section,source,address_hex
RAM_D1,USBD_MIDI,56,.data,./App/Middlewares/ST/STM32_USB_Device_Library/Class/MIDI/Src/usbd_midi.o,0x24000060
RAM_D1,hsdram1,52,.bss.hsdram1,./Src/fmc.o,0x24011DE0
RAM_D1,(anonymous),40,.bss.g_sat,./Src/Audio/fx_pool.o,0x2400B594
RAM_D1,midi_clock_tx_probe,40,.bss.g_rec,./Src/MIDI/midi.o,0x2400FF3C
RAM_D1,FS_Desc,32,.data.FS_Desc,./App/usb_stack/usbd_desc.o,0x240000CC
RAM_D1,USBH_MIDI_Class,32,.data.FS_Desc,./Src/MIDI/usbh_midi.o,0x2400033C
RAM_D1,(anonymous),32,.bss.hall_raw,./Src/App/Hall/hall_adc.o,0x24002ED0
RAM_D1,(anonymous),32,.bss.adc1_dma,./Src/App/Hall/hall_engine.o,0x24007268
RAM_D1,(anonymous),32,.bss.adc1_dma,./Src/App/Hall/hall_engine.o,0x240072F8
RAM_D1,(anonymous),32,.bss.adc1_dma,./Src/App/Hall/hall_engine.o,0x24007318
RAM_D1,(anonymous),32,.bss.adc1_dma,./Src/App/Hall/hall_engine.o,0x24007338
RAM_D1,(anonymous),32,.bss.adc1_dma,./Src/App/Hall/hall_engine.o,0x24007358
RAM_D1,(anonymous),32,.bss.adc1_dma,./Src/App/Hall/hall_engine.o,0x24007378
RAM_D1,(anonymous),32,.bss.hall_max,./Src/App/Hall/hall_engine.o,0x24007398
RAM_D1,(anonymous),32,.bss.hall_min,./Src/App/Hall/hall_engine.o,0x240073B8
RAM_D1,(anonymous),32,.bss.g_tracks,./Src/Audio/monob_moog_ladder.o,0x2400CE24
RAM_D1,(anonymous),32,.bss.g_tracks,./Src/Audio/monob_moog_ladder.o,0x2400CE44
RAM_D1,(anonymous),32,.bss.g_tracks,./Src/Audio/monob_moog_ladder.o,0x2400CE64
RAM_D1,(anonymous),32,.bss.g_rec,./Src/Core/brick6_app_init.o,0x2400F1B4
RAM_D1,(anonymous),32,.bss.g_rec,./Src/Core/cpu_load.o,0x2400F5E4
RAM_D1,(anonymous),28,.bss,C:/ST/STM32CubeIDE_2.0.0/STM32CubeIDE/plugins/com.st.stm32cube.ide.mcu.externaltools.gnu-tools-for-stm32.13.3.rel1.win32_1.0.100.202509120712/tools/bin/../lib/gcc/arm-none-eabi/13.3.1/thumb/v7e-m+dp/hard/crtbegin.o,0x24000720
RAM_D1,pFlash,28,.bss.pFlash,./Drivers/STM32H7xx_HAL_Driver/Src/stm32h7xx_hal_flash.o,0x24001E54
RAM_D1,midi_tx_stats,28,.bss.g_rec,./Src/MIDI/midi.o,0x2400FF90
RAM_D1,USBD_StringSerial,26,.data,./App/usb_stack/usbd_desc.o,0x24000098
RAM_D1,(anonymous),24,.bss.mem.0,./Drivers/Drv_app/Src/buttons_hw.o,0x24001B0C
RAM_D1,(anonymous),24,.bss.adc1_dma,./Src/App/Hall/hall_calibration.o,0x24006FCC
RAM_D1,(anonymous),24,.bss.adc1_dma,./Src/App/Hall/hall_engine.o,0x240070AC
RAM_D1,(anonymous),24,.bss.g_slots,./Src/Audio/fx_pool.o,0x2400B5BC
RAM_D1,(anonymous),24,.bss.g_tracks,./Src/Audio/recorder_transport.o,0x2400D5B0
RAM_D1,(anonymous),20,.bss.mem.0,./App/usb_stack/usbd_conf.o,0x24000FA4
RAM_D1,USBD_FS_DeviceDesc,18,.data,./App/usb_stack/usbd_desc.o,0x240000B8
RAM_D1,(anonymous),16,.data.Stat,./Src/UI/pages/ui_page_template_arp.o,0x240003F0
RAM_D1,(anonymous),16,.data.Stat,./Src/UI/pages/ui_page_template_cfg.o,0x24000400
RAM_D1,(anonymous),16,.data.Stat,./Src/UI/pages/ui_page_template_cfg.o,0x24000410
RAM_D1,(anonymous),16,.data.Stat,./Src/UI/pages/ui_page_template_dx7.o,0x24000420
RAM_D1,(anonymous),16,.data.Stat,./Src/UI/pages/ui_page_template_filter.o,0x24000430
RAM_D1,(anonymous),16,.data.Stat,./Src/UI/pages/ui_page_template_keyboard.o,0x24000518
RAM_D1,(anonymous),16,.data.Stat,./Src/UI/pages/ui_page_template_play.o,0x24000528
RAM_D1,(anonymous),16,.data.Stat,./Src/UI/pages/ui_page_template_seq.o,0x24000538
RAM_D1,(anonymous),16,.bss.dma_busy,./Drivers/Drv_app/Src/sdram.o,0x24001E40
RAM_D1,(anonymous),16,.bss.adc1_dma,./Src/App/Hall/hall_calibration.o,0x24006F9C
RAM_D1,(anonymous),16,.bss.adc1_dma,./Src/App/Hall/hall_calibration.o,0x24006FAC
RAM_D1,(anonymous),16,.bss.adc1_dma,./Src/App/Hall/hall_calibration.o,0x24006FBC
RAM_D1,(anonymous),16,.bss.adc1_dma,./Src/App/Hall/hall_engine.o,0x24007248
RAM_D1,(anonymous),16,.bss.adc1_dma,./Src/App/Hall/hall_engine.o,0x24007258
RAM_D1,(anonymous),16,.bss.adc1_dma,./Src/App/Hall/hall_engine.o,0x24007288
RAM_D1,(anonymous),16,.bss.adc1_dma,./Src/App/Hall/hall_engine.o,0x24007298
RAM_D1,(anonymous),16,.bss.adc1_dma,./Src/App/Hall/hall_engine.o,0x240072A8
RAM_D1,midi_rx_stats,16,.bss.g_rec,./Src/MIDI/midi.o,0x2400FF80
RAM_D1,(anonymous),16,.bss.label.0,./Src/UI/ui_event.o,0x24011780
RAM_D1,__sglue,12,.data.__sglue,C:/ST/STM32CubeIDE_2.0.0/STM32CubeIDE/plugins/com.st.stm32cube.ide.mcu.externaltools.gnu-tools-for-stm32.13.3.rel1.win32_1.0.100.202509120712/tools/bin/../lib/gcc/arm-none-eabi/13.3.1/../../../../arm-none-eabi/lib/thumb/v7e-m+dp/hard\libc_nano.a(libc_a-findfp.o),0x24000550
RAM_D1,disk,12,.bss.disk,./App/Middlewares/Third_Party/FatFs/src/ff_gen_drv.o,0x24000808
RAM_D1,(anonymous),12,.bss.hall_min,./Src/App/mux_pots.o,0x24007460
RAM_D1,(anonymous),10,.data,./App/Middlewares/ST/STM32_USB_Device_Library/Class/MIDI/Src/usbd_midi.o,0x24000000
RAM_D1,(anonymous),10,.data.Stat,./Src/UI/ui_param.o,0x240003E4
RAM_D1,(anonymous),8,.bss.g_u8g2,./Drivers/Drv_app/Src/encoders.o,0x24001BB8
RAM_D1,(anonymous),8,.bss.g_rec,./Src/Audio/tb3_synth.o,0x2400F1AC
RAM_D1,(anonymous),8,.bss.retSD,./Src/Sampler/voice_manager.o,0x24010E0C
RAM_D1,(anonymous),6,.bss.label.0,./Src/UI/ui_core.o,0x24011768
RAM_D1,(anonymous),5,.bss.g_rec,./Src/Keyboard/keyboard_params.o,0x2400FAD8
RAM_D1,USBD_LangIDDesc,4,.data,./App/usb_stack/usbd_desc.o,0x240000B4
RAM_D1,(anonymous),4,.data.FS_Desc,./Drivers/Drv_app/Src/drv_display.o,0x240000EC
RAM_D1,uwTickPrio,4,.data.FS_Desc,./Drivers/STM32H7xx_HAL_Driver/Src/stm32h7xx_hal.o,0x240000F4
RAM_D1,Env::sr_multiplier,4,.data.FS_Desc,./Micro_Dexed/env.o,0x240000F8
